state,N,P,K,temperature,humidity,ph,rainfall,season,crop
Kerala,41.11,33.22,40.41,22.35,51.6,6.52,2.11,October to February,pulses
Assam,40.41,44.33,47.73,27.42,79.3,5.94,1.85,June to September,groundnut
Bihar,35.95,36.62,28.37,28.71,70.1,5.72,0.75,June to September,groundnut
Andhra Pradesh,35.37,32.58,30.75,21.06,62.4,6.59,2.76,October to February,pulses
Madhya Pradesh,71.52,36.36,37.55,23.46,64.3,6.82,0.18,September to March,tomato
West Bengal,74.1,49.63,56,24.12,87.6,4.71,0.68,April to September,tea
Kerala,38.33,35.1,40.71,30.74,78.2,5.9,6.69,June to September,groundnut
Madhya Pradesh,105.48,46.68,44.1,18.75,67.3,6.97,0,November to March,wheat
Punjab,29.5,32.63,44.79,25.08,65,6.98,3.28,June to September,groundnut
Uttar Pradesh,57.34,24.93,48.98,23.21,62.4,6.65,0.79,September to March,tomato
Tamil Nadu,64.19,51.67,68.29,23.65,80.2,5.76,0.58,March to September,coffee
Tamil Nadu,119.67,69.03,88.9,28.93,81.8,6.77,0.85,February to October,sugarcane
Assam,32.03,30.51,50.86,27.32,71.9,6.35,10.43,June to September,groundnut
Bihar,41.95,44.53,52.09,27.17,74.7,6.52,0.11,June to September,groundnut
Kerala,79.16,42.85,59.47,23.44,91.8,5.92,33.25,April to September,tea
Andhra Pradesh,74.86,53.02,55.08,19.79,76.6,6.75,2.37,October to March,potato
Goa,47.31,31.03,47.24,25.49,68,6.82,3.38,June to September,soybean
Uttar Pradesh,58.1,28.9,52.55,20.45,65.2,7.18,1.99,October to March,onion
Assam,67.81,35.84,36.19,27.59,67.3,6.21,0.06,June to October,maize
Uttar Pradesh,91.45,43.54,44.27,16.76,47.6,7.04,0,November to March,wheat
Maharashtra,49.36,29.7,23.19,34.62,46.8,6.89,2.97,June to September,bajra
Bihar,33,26.77,44.53,25.92,71.1,5.84,2.94,June to September,groundnut
Maharashtra,47.64,32.27,52.73,24.89,59.1,5.92,0,September to March,tomato
Nagaland,51.11,24.87,50.18,33.49,51.6,7.62,1.15,June to September,bajra
Tamil Nadu,56.45,34.82,51.18,30.78,76,7.43,1.98,June to September,cotton
Haryana,94.87,45.49,57.71,15.6,68.6,7.17,0,October to March,potato
Tamil Nadu,67.81,46.46,75.01,24.49,84.1,5.86,0.53,March to September,coffee
Assam,77.7,35.07,39.74,32.75,62,6.66,1.79,June to September,jowar
Uttar Pradesh,71,38,42.11,26.35,50.8,7,0,June to September,jowar
Madhya Pradesh,54.84,24.29,62.11,22.45,51.5,6.46,1.1,October to March,onion
Tamil Nadu,68.59,44.52,35.79,28.92,69.1,7.44,2.01,June to October,maize
Jharkhand,56.51,35.43,48.54,27.82,60.6,6.17,1.5,June to September,soybean
Kerala,101.92,47.46,54.85,31.33,91.4,6.08,9.55,June to September,rice
Chhattisgarh,51.84,32.85,53.2,20.97,63.5,6.09,0.55,September to March,tomato
Uttar Pradesh,41.57,30.41,49.03,30.83,50.6,6.28,0.16,June to September,bajra
Chhattisgarh,79.52,53.52,84.95,18.5,70.8,6.55,2.68,October to March,potato
Kerala,69.85,30.35,42.42,23.87,78.7,6.8,1.26,September to March,tomato
Tamil Nadu,78.23,47.44,64.3,18.84,67.9,6.15,0.77,October to March,potato
Kerala,82.53,36.76,57.57,18.78,76.7,6.73,0.16,October to March,potato
Uttar Pradesh,104.05,49.06,94.17,28.08,80.1,6.89,0.72,February to October,sugarcane
Karnataka,66.3,45.27,77.51,25.8,85.3,5.1,4.47,March to September,coffee
Tamil Nadu,61.72,40.39,44.64,23.93,89.7,5.81,14.5,March to September,coffee
Himachal Pradesh,57.96,28.8,37.01,28.15,44.1,7.3,0.1,June to September,bajra
Telangana,61.9,30.93,47.88,28.82,66.6,6.82,0.62,June to September,soybean
Haryana,98.59,41.97,61.95,14.44,59.7,7.37,0.34,November to March,wheat
Karnataka,106.35,66.53,91.7,30.68,78.4,6.65,0.68,February to October,sugarcane
West Bengal,74.69,47.7,51.12,27.46,86.7,6.42,17.43,June to September,rice
Odisha,73.76,47.73,42.13,28.27,83.6,5.74,0,June to September,rice
Tamil Nadu,121.56,50.57,98.07,30.61,77.1,7.5,3.09,February to October,sugarcane
Kerala,60.85,63.22,74.89,23.6,84.2,5.32,0.26,March to September,coffee
Rajasthan,45.27,32.18,45.94,29.58,58.7,7.1,0.49,June to September,soybean
Kerala,89.41,52.8,66.08,19.45,82,6.6,0.7,October to March,potato
Uttar Pradesh,98.77,53.79,48.39,15.54,56.4,7.45,0.13,November to March,wheat
Chhattisgarh,65.35,36.34,32.46,30.02,67.6,6.54,0.89,June to September,soybean
Goa,34.13,26.2,31.93,19.64,52.3,7.93,0,October to February,pulses
Kerala,80.59,48.09,80.02,23.22,89.1,5.7,0,April to September,tea
Jharkhand,35.6,36.52,44.95,27.93,72.3,6.55,1.24,June to September,groundnut
Gujarat,50.14,32.8,69.36,22.43,65.6,6.14,1.64,September to March,tomato
Maharashtra,96.32,58.09,84.2,32.21,82.9,6.34,7.22,February to October,sugarcane
Chhattisgarh,46.16,24.86,40.89,23.89,62.5,6.46,3.43,October to February,pulses
Punjab,60.35,44.66,44.44,26.5,61.5,6.44,0.93,June to October,maize
Odisha,82.32,35.42,32.64,24.06,70.3,6.03,0,June to October,maize
Kerala,64.28,36.12,64.5,23.26,69.1,6.7,0.87,September to March,tomato
Uttar Pradesh,105.32,58.22,77.86,28.77,76.8,6.46,6.3,February to October,sugarcane
Manipur,57.3,35.44,54.04,22.42,65.7,6.82,3.7,September to March,tomato
Manipur,72.33,47.51,38.86,26.4,63.6,7.15,1.35,June to October,maize
Assam,57.17,39.69,58.48,24.55,70.1,6.29,0.13,September to March,tomato
Tamil Nadu,72.84,46.7,42.57,29.02,90,6.55,11.5,June to September,rice
Maharashtra,89.27,67.83,46.4,28.98,83.6,6.23,0.73,June to September,rice
Tamil Nadu,94.39,58.36,99.88,32.5,76.1,6.82,0.63,February to October,sugarcane
Assam,75.85,36.19,56.9,22.77,80,5.55,0.17,June to October,maize
Manipur,100.34,44.4,77.38,17.52,79.1,7.04,0.2,October to March,potato
West Bengal,102.2,47.21,71.41,17.42,73.4,6.44,5.08,October to March,potato
Odisha,66.63,46.79,42.85,27.65,91.4,6.46,3.64,June to September,rice
Uttar Pradesh,80.43,47.54,49.48,21.37,63.1,6.58,0.21,November to March,wheat
Jharkhand,59.82,33.64,75.1,23.3,56.6,7.38,1.37,October to March,onion
Maharashtra,102.34,51.66,77.97,30.52,78.5,7.5,0.55,February to October,sugarcane
Assam,41.51,41.86,52.59,20.57,67.1,7.85,4.73,October to February,pulses
Assam,51.1,49.17,65.61,20.6,65.3,7.39,0.02,October to March,onion
Bihar,65.49,26.21,50.25,28.11,64.8,6.89,6.43,June to September,soybean
Uttar Pradesh,128.58,43.46,62.3,30.5,87.5,6.77,4.02,February to October,sugarcane
West Bengal,51.94,25.23,58.73,25.26,78.6,5.88,3.65,September to March,tomato
Gujarat,83.3,51.47,32.18,26.44,62.1,7.21,0.03,June to October,maize
Haryana,111.75,54.03,52.97,19.37,51.3,7.12,0,November to March,wheat
Assam,75.13,57.11,64.39,25.17,81.1,4.76,2.64,April to September,tea
Rajasthan,68.14,19.79,46.43,32.15,33.1,6.13,0,June to September,bajra
Assam,71.89,27.7,53.02,28.88,70.1,6.4,1.21,June to September,cotton
Maharashtra,95.49,56.24,83.21,27.64,77,6.15,6.39,February to October,sugarcane
Andhra Pradesh,79.33,42.37,39.5,30.78,81.7,6.91,20.35,June to September,rice
Karnataka,56.83,52.3,59.33,25.68,83.1,5.61,0,March to September,coffee
Tamil Nadu,60.81,24.61,53.15,31.55,49.8,5.57,0,June to September,jowar
Haryana,54.74,38.16,45.29,23.77,70.4,6.38,1.95,September to March,tomato
Assam,99.19,51.04,82.92,19.67,75.9,6.07,0.21,October to March,potato
Assam,71.75,52.26,79.7,28.95,92.5,5.26,3.43,April to September,tea
Punjab,88.98,42.8,64.12,13.4,58.8,7.6,0.25,November to March,wheat
Manipur,39.45,31.41,49.37,29.45,77.1,5.93,2.59,June to September,groundnut
Punjab,96.9,51.98,41.2,18.89,54.8,6.88,0.86,November to March,wheat
Odisha,91.72,43.12,49.54,25.04,64,5.97,2.99,June to October,maize
Himachal Pradesh,41,43.18,52.38,21.13,69.3,6.1,0.88,September to March,tomato
Karnataka,54.98,20.54,40.21,33.18,49,6.51,15.45,June to September,bajra
Kerala,71.48,42.42,37.88,28.91,52.9,6.9,8.12,June to September,jowar
Punjab,90.31,55.62,43.35,17.9,46.5,7.61,1.09,November to March,wheat
Madhya Pradesh,67.11,30.62,52.2,22.56,61.2,6.48,2.03,September to March,tomato
Tamil Nadu,62.35,52.38,60.76,25.31,80.9,5.03,3.17,March to September,coffee
Punjab,111.66,43.97,44.62,17.96,62.8,7.05,0.63,November to March,wheat
Madhya Pradesh,90.26,49.35,53.22,13.37,60.3,6.88,1.34,November to March,wheat
West Bengal,99.83,54.95,42.8,25.73,84.7,6.39,3.38,June to September,rice
Chhattisgarh,44.89,30.99,23.23,19.52,58.4,6.47,1.55,October to February,pulses
Maharashtra,66.76,42.89,64.63,21.3,58.2,6.13,2.32,September to March,tomato
Punjab,57.61,33.27,45.97,24,57,5.77,0.24,June to September,cotton
Uttar Pradesh,87.79,61.61,99.86,26.22,73.7,7.5,1.45,February to October,sugarcane
Karnataka,62.97,40.09,82.79,24.28,87.7,6.4,7.74,March to September,coffee
Nagaland,90.89,41.9,66.48,20.69,69.9,5.85,2.17,October to March,potato
Maharashtra,102.21,74.92,85.33,29.67,75,6.8,1.84,February to October,sugarcane
Karnataka,60.38,50.65,72.32,23.79,85.5,5.91,3.29,March to September,coffee
Himachal Pradesh,39.04,27.15,41.24,28.37,73.4,6.08,0.24,June to September,groundnut
Manipur,63.69,36.62,33.65,24.13,49.9,6.72,5.66,October to February,pulses
Telangana,63.57,28.28,61.48,20.87,63.1,6.12,2.01,September to March,tomato
Chhattisgarh,37.16,40.8,40.88,28.57,74.7,7.23,0,June to September,groundnut
Andhra Pradesh,47.77,22.35,37.2,35.67,50.1,6.7,0.62,June to September,bajra
Haryana,71.1,38.04,61.34,31.17,36.7,6.44,1.17,June to September,jowar
Odisha,80.13,42.63,45.58,29.78,76,5.99,7.92,June to September,rice
Tamil Nadu,69.72,36.98,47.29,26.82,69.3,7.41,0.98,September to March,tomato
Telangana,86,55.83,69.5,17.89,69.7,6.4,0.51,October to March,potato
Tripura,62.74,50.75,42.3,30.77,58,7.14,2.83,June to September,jowar
Manipur,65.65,41.62,55.22,22.33,74.3,6.56,0.44,October to March,onion
Odisha,50.76,21.81,51.76,31.8,59.8,7.26,1.31,June to September,bajra
Uttar Pradesh,102.63,55.39,82.51,30.33,75.9,6.65,0.45,February to October,sugarcane
Madhya Pradesh,76.18,41.77,45.57,27.01,69.3,6.2,11.39,June to October,maize
Madhya Pradesh,47.63,33.26,51.86,22.61,61.6,7.5,4.66,September to March,tomato
Nagaland,86.06,43.15,56.84,18.66,76.1,5.5,7.12,October to March,potato
Tripura,57.69,42.02,62.42,23.36,85.7,5.62,1.24,April to September,tea
Tripura,70.4,42.16,70.4,22.84,86,5.06,3.42,April to September,tea
Bihar,85.94,55.93,74.45,18.41,74.5,6.18,3.32,October to March,potato
Uttar Pradesh,117.24,56.64,90.08,30.38,79.5,7.5,3.54,February to October,sugarcane
Assam,88.18,42.9,50.26,29.9,56.9,6.81,7.91,June to September,jowar
Bihar,71.17,31.22,56.14,28.19,80,6.94,1.16,June to September,cotton
Rajasthan,78.04,56.82,77.02,19.1,62.2,7.13,0.19,October to March,potato
Haryana,61.19,48.34,55.84,25.56,56.2,6.65,0,June to September,cotton
Punjab,84.05,56.55,50.42,13.66,61.7,7.16,0,November to March,wheat
Maharashtra,98.52,41.79,46.32,29.35,74.9,5.74,7.65,June to September,rice
Maharashtra,83.83,38.62,34.29,28.7,81.4,6.42,9.13,June to September,rice
Maharashtra,60.82,25.77,67.59,30.77,67.7,6.29,1.08,June to September,cotton
Bihar,32.75,36.17,44.38,26.26,79,6.47,0.99,June to September,groundnut
West Bengal,67.04,24.56,38.52,22.62,58.3,7.04,0.41,October to February,pulses
Punjab,60.5,35.51,68.01,21.23,70,6.9,0,October to March,onion
West Bengal,73.88,51.07,60.96,23.79,93,4.59,27.47,April to September,tea
Kerala,69.1,49.45,74.99,28.67,84.4,6.39,3.08,April to September,tea
Uttarakhand,54.02,38.21,70.15,18.42,57.5,6.44,1.26,October to March,onion
Kerala,45.4,38.8,54.24,26.79,74.3,5.76,1.22,June to September,soybean
Jharkhand,53.37,45.04,48.53,26.2,68.3,6.99,1.76,September to March,tomato
Haryana,53.14,44.31,53.54,25.81,70.8,6.52,0,June to September,soybean
West Bengal,70.81,38.65,46.83,29.34,70.9,6.41,2.49,June to October,maize
Uttarakhand,39.89,41.44,42.45,26.8,72.3,6.43,0.18,June to September,groundnut
Manipur,76.6,44.81,45.17,29.75,80,6.49,0,June to October,maize
Madhya Pradesh,95.28,45.44,41.56,16.19,67.7,6.49,1.2,November to March,wheat
Tamil Nadu,65.9,41.98,68.98,24.79,90.3,6.29,1.07,March to September,coffee
Maharashtra,51.15,41.38,49.22,21.71,67.1,7.18,0.35,October to March,onion
Madhya Pradesh,73.53,39.54,53.15,26.77,65.4,7.15,0.82,June to October,maize
Kerala,80.33,43.98,57.58,24.29,88.3,5.65,0.89,April to September,tea
Tamil Nadu,65.92,43.79,75.27,23.38,84.4,5.95,1.49,March to September,coffee
Madhya Pradesh,44.13,36.3,30.41,30.14,73.7,6.92,1.5,June to September,groundnut
Jharkhand,54.86,46.9,46.79,29.55,52,7.07,0.2,June to September,jowar
West Bengal,93.06,43.08,72.39,18.22,71.9,7.27,0.11,October to March,potato
Assam,78.33,43.12,74.18,19.39,78.5,6.47,0.51,October to March,potato
Manipur,30.99,40.39,58.9,28.62,71,6.13,5,June to September,groundnut
Madhya Pradesh,69.74,32.36,53.51,29.79,47.4,6.46,1.11,June to September,jowar
Tamil Nadu,86.59,51.26,91.96,31.15,77,6.74,4.09,February to October,sugarcane
Maharashtra,74.71,36.1,58.82,22.2,67.3,6.81,2.69,October to March,onion
West Bengal,55.42,36.59,64.47,29.45,73.3,7.5,0,June to September,cotton
Chhattisgarh,76.38,39.46,67.6,27.98,60,6.86,0,June to September,cotton
Madhya Pradesh,105.12,46.1,51.41,15.79,56.7,6.88,0.14,November to March,wheat
Andhra Pradesh,67.38,23.6,43.15,23.53,67.8,6.47,1.73,September to March,tomato
Karnataka,136.07,48.11,91.53,31.56,79.3,7.2,3.92,February to October,sugarcane
Tamil Nadu,75.5,39.21,61.26,30.75,65.2,6.38,0.05,June to September,cotton
Karnataka,122.43,54.66,87.14,33.79,86.7,6.57,2.37,February to October,sugarcane
Punjab,89.03,51.35,60.2,13.93,42.7,7.17,1.21,November to March,wheat
Maharashtra,70.38,33.87,45.39,29.48,56.2,7.1,0.71,June to September,jowar
Nagaland,76.28,58.44,72.48,20.16,84.1,6.57,0,October to March,potato
Uttar Pradesh,56.19,42.54,39.6,24.85,73.4,5.84,0,June to October,maize
Kerala,76.3,56.97,51.88,27.47,81.4,6.04,23.53,June to September,rice
Tripura,70.73,33.64,35.18,25.31,73,7.11,8.95,June to October,maize
Punjab,84.59,55.66,46.41,13.56,61.9,7.71,0.59,November to March,wheat
Rajasthan,78.78,47.83,57.6,19.73,66,6.07,0.88,October to March,potato
Andhra Pradesh,70.49,42.96,45.92,24.73,66.8,5.97,0.29,June to October,maize
Uttar Pradesh,94.97,46,51.41,19.37,53.2,6.74,0.32,November to March,wheat
Kerala,62.25,52.82,61.38,23.3,86.8,6.3,0.34,March to September,coffee
Kerala,66.3,51.4,48.99,25.4,72.4,6.89,7.28,June to October,maize
Maharashtra,39.93,34.52,40.08,27.45,74.4,6.78,1.33,June to September,groundnut
Punjab,40.61,43.8,43.02,30.46,47.2,7.32,1.06,June to September,jowar
Haryana,103.37,44.76,40.15,18.32,51.9,6.57,1.48,November to March,wheat
Goa,77.8,37.36,51.38,26.31,62.1,5.9,0.25,June to September,soybean
Telangana,64.38,51.1,45.05,22.57,74.3,6.01,6.18,October to March,onion
Telangana,58.16,47.28,59.82,19.66,71,6.76,0,October to March,onion
Uttar Pradesh,107.2,51.89,47.19,15.87,60,6.59,1.87,November to March,wheat
West Bengal,58.37,35.18,28.15,26.29,69.5,6.59,1.25,June to September,soybean
Karnataka,97.33,50.06,111.71,27.95,73.6,7.5,0.86,February to October,sugarcane
Karnataka,108.37,58.43,93.59,28.13,78.4,6.68,3.14,February to October,sugarcane
Tamil Nadu,90.99,53.86,42.64,27.16,85.3,6.87,0,June to September,rice
Uttar Pradesh,90.66,62.06,95.52,26.89,76.5,7.11,8.46,February to October,sugarcane
West Bengal,68.22,64.36,57.49,20.42,85.3,5.41,6.93,April to September,tea
Tamil Nadu,108.41,54.99,87.73,28.27,82.5,6.83,3.92,February to October,sugarcane
Uttar Pradesh,38.52,34.88,29.25,28.4,69.9,7.08,0.54,June to September,soybean
Tripura,82.16,63.54,65.07,24.26,87.1,5.67,14.74,April to September,tea
Tamil Nadu,75.41,63.39,54.7,30.21,88.9,6.8,9.46,June to September,rice
Andhra Pradesh,82.04,51.34,40.33,29.19,88.1,6.71,2.57,June to September,rice
Madhya Pradesh,64.04,37.67,50.09,24.88,67.3,6.89,7.09,June to September,soybean
Manipur,68.64,40.92,39.35,30.74,47.9,6.41,0.75,June to September,jowar
Rajasthan,55.63,15.96,45.39,38,41.1,7.54,0.79,June to September,bajra
Jharkhand,67.28,37.44,39.37,18.7,64,6.31,0,October to February,pulses
Himachal Pradesh,53.17,36.66,40.5,26.97,58.7,6.8,7.07,June to September,cotton
Andhra Pradesh,58.51,30.38,54.56,21.5,59.8,7.17,0.46,October to March,onion
Punjab,60.07,39.16,63.56,25.49,62.3,6.43,0.72,September to March,tomato
Karnataka,75.31,54.96,69.08,29.03,77.2,6.75,2.07,February to October,sugarcane
Karnataka,57.89,50.88,65.14,24.32,80.3,5.99,0.73,March to September,coffee
Maharashtra,90.29,45.09,43.95,27.24,88,7.27,2.3,June to September,rice
Chhattisgarh,56.07,23.43,45.91,27.39,63.7,6.09,0.22,June to September,soybean
Maharashtra,68.67,36.62,59.06,21.16,76.6,6.46,0.45,October to March,potato
Punjab,59.22,22.26,40.58,29.84,30,7.07,0.13,June to September,bajra
Kerala,82.52,41.11,48.36,31.52,90,6.75,30.59,June to September,rice
Uttar Pradesh,49.87,33.25,40.01,17.52,53.9,8,0.53,October to February,pulses
West Bengal,63.8,44.5,63.37,24.47,89.2,5.62,6.62,April to September,tea
Gujarat,41.09,30.19,34.64,20.45,56.3,6.56,0.86,October to February,pulses
Uttar Pradesh,43.26,40.95,26.55,23.82,58.1,7.44,0.42,October to February,pulses
Karnataka,79.22,40.4,60.07,24.64,86.6,5.59,0.32,March to September,coffee
Goa,86.77,31.02,39.45,25.95,73.1,6.38,4.64,June to October,maize
Manipur,34.78,39.08,63.4,30.39,76.2,6.57,0.4,June to September,groundnut
Kerala,52.32,54.11,93.39,22.1,84.2,5.52,0.21,March to September,coffee
Maharashtra,68.23,36.62,43.88,25.19,62.3,6.54,1.4,June to September,soybean
Maharashtra,98.45,54.47,81.87,28.72,82.1,6.2,3.43,February to October,sugarcane
Himachal Pradesh,73.83,26.85,56.67,20.39,62.1,6.54,0,October to March,onion
Rajasthan,83.29,48.12,72.94,22,66.8,6.24,0,October to March,potato
Andhra Pradesh,72.41,38.15,48.69,30.04,43.1,6.38,0.08,June to September,jowar
Punjab,90.83,40.35,39,17.34,49,7.16,1.48,November to March,wheat
Andhra Pradesh,37.82,35.58,35.85,26.44,79.9,5.53,0.95,June to September,groundnut
Tripura,69.82,40.36,66.27,25.55,87.3,5.08,3.11,April to September,tea
Andhra Pradesh,60.92,32.29,51.07,30.44,68.1,6.87,0.89,June to September,cotton
Punjab,80.67,44.29,60.04,18.21,70.5,6.54,0,October to March,potato
Tamil Nadu,108.34,50.28,77.65,31.59,78.6,7.03,9,February to October,sugarcane
Telangana,41.95,29.95,34.4,26.57,64.5,5.55,2.99,June to September,soybean
Kerala,70.52,52.95,68.17,19.36,77.3,5.77,0.92,October to March,potato
West Bengal,98.84,53.09,44.9,25.89,82.1,6.25,2.53,June to September,rice
Gujarat,75.7,32.1,49.52,30.81,59.4,6.8,7.43,June to September,jowar
Tamil Nadu,49.13,35.73,65.04,22.59,74.6,6.58,1.68,October to March,onion
Andhra Pradesh,74.33,47.93,55.77,19.83,71.2,5.54,2.23,October to March,potato
Tripura,61.05,46.19,57.6,21.95,67.5,6.83,1.02,October to March,onion
Telangana,38.28,43.4,37.55,29.37,70.2,5.92,3.78,June to September,groundnut
Kerala,66.16,43.39,44.98,27.62,70.7,6.89,0.24,June to September,cotton
Goa,65.66,26.37,31.58,36.54,52.4,7.03,2.24,June to September,bajra
Karnataka,30.18,39.46,48.49,30.25,75.8,6.08,4.26,June to September,groundnut
Himachal Pradesh,93.63,31.6,35.31,25.18,65.2,6.13,0.19,June to October,maize
Madhya Pradesh,45.66,32.91,32.94,27.43,62.6,5.5,0.03,June to September,soybean
Kerala,75.69,36.41,64.11,23.33,70.4,6,0,October to March,onion
Uttar Pradesh,94.79,74.1,104.18,29.57,74.4,6.89,5.24,February to October,sugarcane
West Bengal,77.8,48.42,77.45,27.89,81.6,5.7,14.73,April to September,tea
Punjab,83.69,42.51,49.08,16.1,55,6.26,0.03,November to March,wheat
Uttar Pradesh,80.27,56.6,55.03,18.79,52.9,7.11,0.64,November to March,wheat
Assam,83.37,32.84,43.24,30.85,66.3,6.45,7.38,June to October,maize
Kerala,66,54.72,52.46,27.97,86,6.3,0.86,June to September,rice
Haryana,101.17,40.32,53.91,13.94,60.7,6.75,0.03,November to March,wheat
Haryana,36.45,45.6,50.24,27.72,64,6.27,0.39,June to September,groundnut
Madhya Pradesh,56.63,31.78,60.2,20.82,56.2,6.63,0.02,October to March,onion
Jharkhand,44.42,36.76,40.34,31.31,45.3,7.31,0,June to September,bajra
Kerala,27.95,32.56,37.27,21.08,58,7.69,0,October to February,pulses
Gujarat,93.74,42.46,55.49,22,72.8,6.17,1.17,October to March,potato
Manipur,50.95,34.74,66.7,21.4,64.7,7.14,0.54,October to March,onion
Andhra Pradesh,55.97,45.55,37.64,26.31,67.7,6.97,2.25,June to September,soybean
Uttarakhand,39.3,35.37,46.11,19.14,61.9,6.49,0.16,October to February,pulses
Karnataka,63.58,39.76,38.33,29.25,69.6,6.94,2.42,June to September,soybean
Karnataka,72.07,36.66,67.03,19.76,63.4,6.74,2.54,October to March,onion
Uttar Pradesh,99.26,57.21,99.23,28.08,77.6,6.96,0,February to October,sugarcane
Assam,71.09,35.65,43.58,27.77,89.5,7.47,4.35,June to September,rice
Tamil Nadu,90.68,49.18,35.05,29.9,82.5,6.53,6.58,June to September,rice
West Bengal,78.38,29.42,33.56,33.92,50.9,7.35,0.08,June to September,bajra
Uttarakhand,66.96,37.15,71.55,21.92,75.8,6.8,0.09,October to March,onion
Madhya Pradesh,39.38,22.78,47.25,31.58,37.2,6.35,7.93,June to September,bajra
Manipur,77.92,38.39,34.98,24.61,73.5,5.59,0.61,June to October,maize
Assam,71.21,49.39,67.83,24.59,89.8,5.05,8.7,April to September,tea
Maharashtra,92.56,53.85,96.73,29.43,74.8,7.5,0.48,February to October,sugarcane
Haryana,31.29,49.67,45.92,22.73,61,7.86,0.31,October to February,pulses
Karnataka,69.34,47.43,50.37,27.26,61.3,6.85,0.39,June to October,maize
Tripura,55.64,46.36,38.11,23.19,88.8,5.61,2.26,April to September,tea
West Bengal,67.65,46.65,67.58,20.58,82.9,4.94,5.21,April to September,tea
Odisha,54.36,27.44,39.23,27.26,67.7,7.02,2.99,June to September,soybean
Tripura,62.47,37.02,65.19,23.45,86.1,6.2,2.95,April to September,tea
Haryana,39.98,39.09,46.37,28.48,74.1,6.01,6.01,June to September,groundnut
Gujarat,36.77,54.57,32.73,27.84,71.7,5.68,0.63,June to September,groundnut
Tripura,80.29,43.54,79.42,26.24,81.6,4.59,3.12,April to September,tea
Karnataka,44.61,46.99,79.04,22.45,81.9,5.92,0.33,March to September,coffee
Odisha,92.04,42.08,46.96,30.55,78,6,4.9,June to September,rice
Tamil Nadu,63.06,51.96,64.05,24.32,87.7,6.24,2.39,March to September,coffee
Tripura,83.64,41.9,44.93,27.61,72.7,6.8,2.69,June to October,maize
Jharkhand,85.64,46.73,87.59,19.28,73.6,6.77,0.12,October to March,potato
Tamil Nadu,70.19,33.5,57.98,30.81,67.9,6.47,0,June to September,cotton
Karnataka,71.5,36.09,41.53,28.36,66.5,6.6,2.69,September to March,tomato
Gujarat,71.25,45.14,46.22,26.68,60.5,6.9,0,June to October,maize
Maharashtra,63.03,31.8,53.88,27.07,54.8,7.32,0.03,June to September,jowar
Odisha,61.39,45.65,49.81,26.2,81.7,6.28,0.2,June to September,rice
Himachal Pradesh,59.35,40.98,67.28,26.27,50,8,0,June to September,jowar
Goa,80.39,40.87,49.13,29.33,57.2,6.51,0,June to September,jowar
Maharashtra,101.49,54.48,79.62,30.19,84.6,7.32,1.55,February to October,sugarcane
Gujarat,32.38,36.42,44.34,29.23,76.7,6.51,0.51,June to September,groundnut
Assam,74.72,49.89,68.71,22.79,90,5.54,0.11,April to September,tea
Tamil Nadu,48.3,34.69,34.51,34.55,36.1,7.21,0.6,June to September,bajra
Goa,47.5,46.1,49.85,27.94,73.7,6.23,8.53,June to September,cotton
Telangana,75.13,35.23,52.74,29.52,54.1,6.69,1.11,June to September,jowar
Bihar,71.92,43.39,54.26,21.88,69,6.25,2.3,October to March,onion
Uttar Pradesh,108.91,64.49,97.89,31.72,77.6,6.08,0,February to October,sugarcane
Uttar Pradesh,102.87,61.8,111.31,28.96,72.5,6,0,February to October,sugarcane
Punjab,68.49,28.37,46.23,25.33,54,7.08,0.41,September to March,tomato
Kerala,69.87,45.64,68.17,23.51,85.7,5.82,1.4,March to September,coffee
Tamil Nadu,83.53,39.25,83.62,19.86,70.6,6.8,0.27,October to March,potato
Rajasthan,47.29,20.62,34.12,32.42,48.9,7.87,1.84,June to September,bajra
Himachal Pradesh,45.46,34.06,41.81,25.31,66,6.37,0,June to September,soybean
Gujarat,57.61,30.22,34.55,30.14,46.8,6.97,1.8,June to September,bajra
Tamil Nadu,108.06,54.76,77.96,27.23,74.2,6.44,5.86,February to October,sugarcane
Gujarat,73.24,28.87,45.5,29.47,47,6.2,0,June to September,jowar
Tripura,51.29,46.12,50.97,26.2,74.4,6.79,1.36,June to September,soybean
Chhattisgarh,73.46,47.24,37.5,27.28,63.3,6.5,0.38,June to October,maize
Tripura,70.84,36.88,35.08,28.18,68.2,7.04,0.31,June to October,maize
Madhya Pradesh,43.09,28.71,31.14,23.54,50.3,7.4,0.43,October to February,pulses
Uttar Pradesh,87.6,52.65,82.82,29.9,83.2,7.46,1.39,February to October,sugarcane
Karnataka,59.71,36.01,37.76,27,65.4,5.97,4.17,June to September,cotton
Tamil Nadu,44.49,26.09,22.24,22.75,53.7,6.6,0.1,October to February,pulses
Rajasthan,53.48,39.28,42.82,28.85,55.9,6.2,1.31,June to September,soybean
Madhya Pradesh,58.31,30.31,25.4,32.61,41.5,6.56,0.04,June to September,bajra
Goa,60.93,36.27,59.35,30.57,55.7,7.11,0,June to September,jowar
Telangana,74.4,41.82,44.7,28.46,56.2,6.03,0,June to October,maize
Chhattisgarh,92.93,58.65,79.81,20.55,78.2,6.71,2.59,October to March,potato
Haryana,31.66,40.21,35.81,27.23,68.6,6.17,0.21,June to September,groundnut
Manipur,58.23,34.52,43.08,27.46,67.3,6.33,0.59,June to September,cotton
Odisha,51.59,23.84,23.87,34.82,44.8,8,4.46,June to September,bajra
